id,title,difficulty,related_topics,acceptance_rate,url,rating,asked_by_faang
27,Remove Element,Easy,"Array,Two Pointers",49.5,https://leetcode.com/problems/remove-element,37,1
28,Implement strStr(),Easy,"Two Pointers,String",35.3,https://leetcode.com/problems/implement-strstr,49,1
29,Divide Two Integers,Medium,"Math,Binary Search",16.9,https://leetcode.com/problems/divide-two-integers,20,1
30,Substring with Concatenation of All Words,Hard,"Hash Table,Two Pointers,String",26.4,https://leetcode.com/problems/substring-with-concatenation-of-all-words,45,1
31,Next Permutation,Medium,Array,33.9,https://leetcode.com/problems/next-permutation,74,1
32,Longest Valid Parentheses,Hard,"String,Dynamic Programming",29.9,https://leetcode.com/problems/longest-valid-parentheses,96,1
33,Search in Rotated Sorted Array,Medium,"Array,Binary Search",36.1,https://leetcode.com/problems/search-in-rotated-sorted-array,92,1
34,Find First and Last Position of Element in Sorted Array,Medium,"Array,Binary Search",37.5,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,96,1
35,Search Insert Position,Easy,"Array,Binary Search",42.9,https://leetcode.com/problems/search-insert-position,92,1
36,Valid Sudoku,Medium,Hash Table,50.8,https://leetcode.com/problems/valid-sudoku,82,1
37,Sudoku Solver,Hard,"Hash Table,Backtracking",47.0,https://leetcode.com/problems/sudoku-solver,96,1
38,Count and Say,Medium,String,46.3,https://leetcode.com/problems/count-and-say,22,1
39,Combination Sum,Medium,"Array,Backtracking",59.7,https://leetcode.com/problems/combination-sum,97,1
40,Combination Sum II,Medium,"Array,Backtracking",50.4,https://leetcode.com/problems/combination-sum-ii,97,1
41,First Missing Positive,Hard,Array,33.9,https://leetcode.com/problems/first-missing-positive,85,1
42,Trapping Rain Water,Hard,"Array,Two Pointers,Dynamic Programming,Stack",51.6,https://leetcode.com/problems/trapping-rain-water,99,1
43,Multiply Strings,Medium,"Math,String",35.1,https://leetcode.com/problems/multiply-strings,71,1
44,Wildcard Matching,Hard,"String,Dynamic Programming,Backtracking,Greedy",25.5,https://leetcode.com/problems/wildcard-matching,95,1
45,Jump Game II,Medium,"Array,Greedy",31.7,https://leetcode.com/problems/jump-game-ii,96,1
46,Permutations,Medium,Backtracking,67.1,https://leetcode.com/problems/permutations,98,1
47,Permutations II,Medium,Backtracking,49.8,https://leetcode.com/problems/permutations-ii,97,1
48,Rotate Image,Medium,Array,60.5,https://leetcode.com/problems/rotate-image,93,1
49,Group Anagrams,Medium,"Hash Table,String",59.7,https://leetcode.com/problems/group-anagrams,96,1
50,"Pow(x, n)",Medium,"Math,Binary Search",31.0,https://leetcode.com/problems/powx-n,38,1
51,N-Queens,Hard,Backtracking,50.2,https://leetcode.com/problems/n-queens,96,1
52,N-Queens II,Hard,Backtracking,60.5,https://leetcode.com/problems/n-queens-ii,81,1
53,Maximum Subarray,Easy,"Array,Divide and Conquer,Dynamic Programming",47.9,https://leetcode.com/problems/maximum-subarray,95,1
54,Spiral Matrix,Medium,Array,36.5,https://leetcode.com/problems/spiral-matrix,85,1
55,Jump Game,Medium,"Array,Greedy",35.2,https://leetcode.com/problems/jump-game,94,1
56,Merge Intervals,Medium,"Array,Sort",41.4,https://leetcode.com/problems/merge-intervals,95,1
57,Insert Interval,Medium,"Array,Sort",35.3,https://leetcode.com/problems/insert-interval,92,1
58,Length of Last Word,Easy,String,33.5,https://leetcode.com/problems/length-of-last-word,25,1
59,Spiral Matrix II,Medium,Array,58.2,https://leetcode.com/problems/spiral-matrix-ii,93,0
60,Permutation Sequence,Hard,"Math,Backtracking",39.5,https://leetcode.com/problems/permutation-sequence,86,1
61,Rotate List,Medium,"Linked List,Two Pointers",31.9,https://leetcode.com/problems/rotate-list,66,1
62,Unique Paths,Medium,"Array,Dynamic Programming",56.3,https://leetcode.com/problems/unique-paths,95,1
63,Unique Paths II,Medium,"Array,Dynamic Programming",35.4,https://leetcode.com/problems/unique-paths-ii,90,1
64,Minimum Path Sum,Medium,"Array,Dynamic Programming",56.5,https://leetcode.com/problems/minimum-path-sum,98,1
65,Valid Number,Hard,"Math,String",16.0,https://leetcode.com/problems/valid-number,14,1
66,Plus One,Easy,Array,42.2,https://leetcode.com/problems/plus-one,42,1
67,Add Binary,Easy,"Math,String",47.3,https://leetcode.com/problems/add-binary,89,1
68,Text Justification,Hard,String,30.1,https://leetcode.com/problems/text-justification,34,1
69,Sqrt(x),Easy,"Math,Binary Search",35.4,https://leetcode.com/problems/sqrtx,45,1
70,Climbing Stairs,Easy,Dynamic Programming,48.8,https://leetcode.com/problems/climbing-stairs,97,1
71,Simplify Path,Medium,"String,Stack",34.9,https://leetcode.com/problems/simplify-path,78,1
72,Edit Distance,Hard,"String,Dynamic Programming",47.1,https://leetcode.com/problems/edit-distance,99,1
73,Set Matrix Zeroes,Medium,Array,44.6,https://leetcode.com/problems/set-matrix-zeroes,90,1
74,Search a 2D Matrix,Medium,"Array,Binary Search",38.1,https://leetcode.com/problems/search-a-2d-matrix,94,1
75,Sort Colors,Medium,"Array,Two Pointers,Sort",49.8,https://leetcode.com/problems/sort-colors,95,1
76,Minimum Window Substring,Hard,"Hash Table,Two Pointers,String,Sliding Window",36.2,https://leetcode.com/problems/minimum-window-substring,94,1
77,Combinations,Medium,Backtracking,57.9,https://leetcode.com/problems/combinations,96,1
78,Subsets,Medium,"Array,Backtracking,Bit Manipulation",65.6,https://leetcode.com/problems/subsets,98,1
79,Word Search,Medium,"Array,Backtracking",37.1,https://leetcode.com/problems/word-search,96,1
80,Remove Duplicates from Sorted Array II,Medium,"Array,Two Pointers",46.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,70,0
81,Search in Rotated Sorted Array II,Medium,"Array,Binary Search",33.7,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,78,1
82,Remove Duplicates from Sorted List II,Medium,Linked List,39.5,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,96,1
83,Remove Duplicates from Sorted List,Easy,Linked List,46.7,https://leetcode.com/problems/remove-duplicates-from-sorted-list,94,1
84,Largest Rectangle in Histogram,Hard,"Array,Stack",37.4,https://leetcode.com/problems/largest-rectangle-in-histogram,98,1
85,Maximal Rectangle,Hard,"Array,Hash Table,Dynamic Programming,Stack",39.7,https://leetcode.com/problems/maximal-rectangle,98,1
86,Partition List,Medium,"Linked List,Two Pointers",43.7,https://leetcode.com/problems/partition-list,84,1
87,Scramble String,Hard,"String,Dynamic Programming",34.8,https://leetcode.com/problems/scramble-string,49,1
88,Merge Sorted Array,Easy,"Array,Two Pointers",40.9,https://leetcode.com/problems/merge-sorted-array,41,1
89,Gray Code,Medium,Backtracking,50.7,https://leetcode.com/problems/gray-code,31,0
90,Subsets II,Medium,"Array,Backtracking",49.1,https://leetcode.com/problems/subsets-ii,96,1
91,Decode Ways,Medium,"String,Dynamic Programming",26.9,https://leetcode.com/problems/decode-ways,55,1
92,Reverse Linked List II,Medium,Linked List,40.8,https://leetcode.com/problems/reverse-linked-list-ii,95,1
93,Restore IP Addresses,Medium,"String,Backtracking",37.9,https://leetcode.com/problems/restore-ip-addresses,75,0
94,Binary Tree Inorder Traversal,Medium,"Hash Table,Stack,Tree",66.3,https://leetcode.com/problems/binary-tree-inorder-traversal,96,1
95,Unique Binary Search Trees II,Medium,"Dynamic Programming,Tree",43.0,https://leetcode.com/problems/unique-binary-search-trees-ii,94,1
96,Unique Binary Search Trees,Medium,"Dynamic Programming,Tree",54.7,https://leetcode.com/problems/unique-binary-search-trees,96,0
97,Interleaving String,Medium,"String,Dynamic Programming",32.8,https://leetcode.com/problems/interleaving-string,95,1
99,Recover Binary Search Tree,Hard,"Tree,Depth-first Search",42.8,https://leetcode.com/problems/recover-binary-search-tree,96,1
100,Same Tree,Easy,"Tree,Depth-first Search",54.2,https://leetcode.com/problems/same-tree,97,1
101,Symmetric Tree,Easy,"Tree,Depth-first Search,Breadth-first Search",48.4,https://leetcode.com/problems/symmetric-tree,97,1
102,Binary Tree Level Order Traversal,Medium,"Tree,Breadth-first Search",57.0,https://leetcode.com/problems/binary-tree-level-order-traversal,98,1
103,Binary Tree Zigzag Level Order Traversal,Medium,"Stack,Tree,Breadth-first Search",50.4,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,96,1
104,Maximum Depth of Binary Tree,Easy,"Tree,Depth-first Search,Recursion",68.3,https://leetcode.com/problems/maximum-depth-of-binary-tree,98,1
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,"Array,Tree,Depth-first Search",52.4,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,98,1
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,"Array,Tree,Depth-first Search",50.1,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,98,1
107,Binary Tree Level Order Traversal II,Medium,"Tree,Breadth-first Search",55.5,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,90,1
108,Convert Sorted Array to Binary Search Tree,Easy,"Tree,Depth-first Search",60.9,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,93,1
109,Convert Sorted List to Binary Search Tree,Medium,"Linked List,Depth-first Search",50.6,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,97,1
110,Balanced Binary Tree,Easy,"Tree,Depth-first Search,Recursion",44.8,https://leetcode.com/problems/balanced-binary-tree,94,1
111,Minimum Depth of Binary Tree,Easy,"Tree,Depth-first Search,Breadth-first Search",39.8,https://leetcode.com/problems/minimum-depth-of-binary-tree,74,1
112,Path Sum,Easy,"Tree,Depth-first Search",42.6,https://leetcode.com/problems/path-sum,83,1
113,Path Sum II,Medium,"Tree,Depth-first Search",49.5,https://leetcode.com/problems/path-sum-ii,97,1
114,Flatten Binary Tree to Linked List,Medium,"Tree,Depth-first Search",52.4,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,91,1
115,Distinct Subsequences,Hard,"String,Dynamic Programming",40.0,https://leetcode.com/problems/distinct-subsequences,97,1
116,Populating Next Right Pointers in Each Node,Medium,"Tree,Depth-first Search,Breadth-first Search",49.6,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,95,1
117,Populating Next Right Pointers in Each Node II,Medium,"Tree,Depth-first Search",42.4,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,92,1
118,Pascal's Triangle,Easy,Array,55.4,https://leetcode.com/problems/pascals-triangle,95,1
119,Pascal's Triangle II,Easy,Array,52.5,https://leetcode.com/problems/pascals-triangle-ii,85,1
120,Triangle,Medium,"Array,Dynamic Programming",46.0,https://leetcode.com/problems/triangle,90,1
121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming",51.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,96,1
122,Best Time to Buy and Sell Stock II,Easy,"Array,Greedy",58.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,67,1
123,Best Time to Buy and Sell Stock III,Hard,"Array,Dynamic Programming",40.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,97,1
124,Binary Tree Maximum Path Sum,Hard,"Tree,Depth-first Search,Recursion",35.6,https://leetcode.com/problems/binary-tree-maximum-path-sum,93,1
125,Valid Palindrome,Easy,"Two Pointers,String",38.5,https://leetcode.com/problems/valid-palindrome,33,1
126,Word Ladder II,Hard,"Array,String,Backtracking,Breadth-first Search",23.8,https://leetcode.com/problems/word-ladder-ii,89,1
127,Word Ladder,Hard,Breadth-first Search,32.1,https://leetcode.com/problems/word-ladder,78,1
128,Longest Consecutive Sequence,Hard,"Array,Union Find",46.5,https://leetcode.com/problems/longest-consecutive-sequence,95,1
129,Sum Root to Leaf Numbers,Medium,"Tree,Depth-first Search",51.3,https://leetcode.com/problems/sum-root-to-leaf-numbers,97,1
130,Surrounded Regions,Medium,"Depth-first Search,Breadth-first Search,Union Find",29.8,https://leetcode.com/problems/surrounded-regions,77,1
131,Palindrome Partitioning,Medium,"Dynamic Programming,Backtracking,Depth-first Search",52.6,https://leetcode.com/problems/palindrome-partitioning,97,1
132,Palindrome Partitioning II,Hard,Dynamic Programming,31.4,https://leetcode.com/problems/palindrome-partitioning-ii,97,1
133,Clone Graph,Medium,"Depth-first Search,Breadth-first Search,Graph",39.8,https://leetcode.com/problems/clone-graph,63,1
134,Gas Station,Medium,Greedy,41.5,https://leetcode.com/problems/gas-station,87,1
135,Candy,Hard,Greedy,33.3,https://leetcode.com/problems/candy,88,1
136,Single Number,Easy,"Hash Table,Bit Manipulation",66.7,https://leetcode.com/problems/single-number,97,1
137,Single Number II,Medium,Bit Manipulation,54.1,https://leetcode.com/problems/single-number-ii,86,1
138,Copy List with Random Pointer,Medium,"Hash Table,Linked List",41.4,https://leetcode.com/problems/copy-list-with-random-pointer,86,1
139,Word Break,Medium,Dynamic Programming,41.9,https://leetcode.com/problems/word-break,95,1
140,Word Break II,Hard,"Dynamic Programming,Backtracking",35.3,https://leetcode.com/problems/word-break-ii,87,1
141,Linked List Cycle,Easy,"Linked List,Two Pointers",43.1,https://leetcode.com/problems/linked-list-cycle,88,1
142,Linked List Cycle II,Medium,"Linked List,Two Pointers",40.0,https://leetcode.com/problems/linked-list-cycle-ii,93,1
143,Reorder List,Medium,Linked List,41.0,https://leetcode.com/problems/reorder-list,95,1
144,Binary Tree Preorder Traversal,Medium,"Stack,Tree",57.8,https://leetcode.com/problems/binary-tree-preorder-traversal,96,1
145,Binary Tree Postorder Traversal,Medium,"Stack,Tree",58.0,https://leetcode.com/problems/binary-tree-postorder-traversal,96,1
146,LRU Cache,Medium,Design,36.2,https://leetcode.com/problems/lru-cache,96,1
147,Insertion Sort List,Medium,"Linked List,Sort",44.6,https://leetcode.com/problems/insertion-sort-list,60,1
148,Sort List,Medium,"Linked List,Sort",46.7,https://leetcode.com/problems/sort-list,96,1
149,Max Points on a Line,Hard,"Hash Table,Math",17.6,https://leetcode.com/problems/max-points-on-a-line,74,1
150,Evaluate Reverse Polish Notation,Medium,Stack,38.2,https://leetcode.com/problems/evaluate-reverse-polish-notation,75,1
151,Reverse Words in a String,Medium,String,24.1,https://leetcode.com/problems/reverse-words-in-a-string,33,1
152,Maximum Product Subarray,Medium,"Array,Dynamic Programming",32.9,https://leetcode.com/problems/maximum-product-subarray,97,1
153,Find Minimum in Rotated Sorted Array,Medium,"Array,Binary Search",46.4,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,92,1
154,Find Minimum in Rotated Sorted Array II,Hard,"Array,Binary Search",42.1,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii,85,1
155,Min Stack,Easy,"Stack,Design",46.8,https://leetcode.com/problems/min-stack,91,1
156,Binary Tree Upside Down,Medium,Tree,56.6,https://leetcode.com/problems/binary-tree-upside-down,24,0
157,Read N Characters Given Read4,Easy,String,37.7,https://leetcode.com/problems/read-n-characters-given-read4,14,1
158,Read N Characters Given Read4 II - Call multiple times,Hard,String,37.4,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,32,1
159,Longest Substring with At Most Two Distinct Characters,Medium,"Hash Table,Two Pointers,String,Sliding Window",50.7,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,98,1
160,Intersection of Two Linked Lists,Easy,Linked List,44.5,https://leetcode.com/problems/intersection-of-two-linked-lists,90,1
161,One Edit Distance,Medium,String,33.2,https://leetcode.com/problems/one-edit-distance,86,1
162,Find Peak Element,Medium,"Array,Binary Search",44.1,https://leetcode.com/problems/find-peak-element,51,1
163,Missing Ranges,Easy,Array,27.4,https://leetcode.com/problems/missing-ranges,20,1
164,Maximum Gap,Hard,Sort,37.1,https://leetcode.com/problems/maximum-gap,84,1
165,Compare Version Numbers,Medium,String,30.6,https://leetcode.com/problems/compare-version-numbers,32,1
166,Fraction to Recurring Decimal,Medium,"Hash Table,Math",22.4,https://leetcode.com/problems/fraction-to-recurring-decimal,33,1
167,Two Sum II - Input array is sorted,Easy,"Array,Two Pointers,Binary Search",55.8,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,78,1
168,Excel Sheet Column Title,Easy,Math,31.9,https://leetcode.com/problems/excel-sheet-column-title,84,1
169,Majority Element,Easy,"Array,Divide and Conquer,Bit Manipulation",60.2,https://leetcode.com/problems/majority-element,95,1
170,Two Sum III - Data structure design,Easy,"Hash Table,Design",35.0,https://leetcode.com/problems/two-sum-iii-data-structure-design,57,0
171,Excel Sheet Column Number,Easy,Math,57.1,https://leetcode.com/problems/excel-sheet-column-number,89,0
172,Factorial Trailing Zeroes,Easy,Math,38.8,https://leetcode.com/problems/factorial-trailing-zeroes,47,1
173,Binary Search Tree Iterator,Medium,"Stack,Tree,Design",60.6,https://leetcode.com/problems/binary-search-tree-iterator,92,1
174,Dungeon Game,Hard,"Binary Search,Dynamic Programming",33.4,https://leetcode.com/problems/dungeon-game,98,0
179,Largest Number,Medium,Sort,30.8,https://leetcode.com/problems/largest-number,90,1
186,Reverse Words in a String II,Medium,String,46.0,https://leetcode.com/problems/reverse-words-in-a-string-ii,84,0
187,Repeated DNA Sequences,Medium,"Hash Table,Bit Manipulation",41.7,https://leetcode.com/problems/repeated-dna-sequences,78,1
188,Best Time to Buy and Sell Stock IV,Hard,Dynamic Programming,30.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,95,1
189,Rotate Array,Medium,Array,36.8,https://leetcode.com/problems/rotate-array,83,1
190,Reverse Bits,Easy,Bit Manipulation,42.6,https://leetcode.com/problems/reverse-bits,75,1
191,Number of 1 Bits,Easy,Bit Manipulation,54.2,https://leetcode.com/problems/number-of-1-bits,69,0
198,House Robber,Medium,Dynamic Programming,43.1,https://leetcode.com/problems/house-robber,97,1
199,Binary Tree Right Side View,Medium,"Tree,Depth-first Search,Breadth-first Search,Recursion,Queue",56.5,https://leetcode.com/problems/binary-tree-right-side-view,95,1
200,Number of Islands,Medium,"Depth-first Search,Breadth-first Search,Union Find",49.5,https://leetcode.com/problems/number-of-islands,97,1
201,Bitwise AND of Numbers Range,Medium,Bit Manipulation,39.7,https://leetcode.com/problems/bitwise-and-of-numbers-range,90,0
202,Happy Number,Easy,"Hash Table,Math",51.4,https://leetcode.com/problems/happy-number,86,1
203,Remove Linked List Elements,Easy,Linked List,39.5,https://leetcode.com/problems/remove-linked-list-elements,95,1
204,Count Primes,Easy,"Hash Table,Math",32.3,https://leetcode.com/problems/count-primes,79,1
205,Isomorphic Strings,Easy,Hash Table,40.6,https://leetcode.com/problems/isomorphic-strings,81,1
206,Reverse Linked List,Easy,Linked List,65.7,https://leetcode.com/problems/reverse-linked-list,98,1
207,Course Schedule,Medium,"Depth-first Search,Breadth-first Search,Graph,Topological Sort",44.3,https://leetcode.com/problems/course-schedule,96,1
208,Implement Trie (Prefix Tree),Medium,"Design,Trie",52.5,https://leetcode.com/problems/implement-trie-prefix-tree,98,1
209,Minimum Size Subarray Sum,Medium,"Array,Two Pointers,Binary Search",39.8,https://leetcode.com/problems/minimum-size-subarray-sum,96,1
210,Course Schedule II,Medium,"Depth-first Search,Breadth-first Search,Graph,Topological Sort",42.9,https://leetcode.com/problems/course-schedule-ii,96,1
211,Design Add and Search Words Data Structure,Medium,"Backtracking,Depth-first Search,Design,Trie",40.6,https://leetcode.com/problems/design-add-and-search-words-data-structure,96,1
212,Word Search II,Hard,"Backtracking,Trie",37.4,https://leetcode.com/problems/word-search-ii,96,1
213,House Robber II,Medium,Dynamic Programming,37.7,https://leetcode.com/problems/house-robber-ii,98,0
214,Shortest Palindrome,Hard,String,30.8,https://leetcode.com/problems/shortest-palindrome,91,0
215,Kth Largest Element in an Array,Medium,"Divide and Conquer,Heap",58.9,https://leetcode.com/problems/kth-largest-element-in-an-array,94,1
216,Combination Sum III,Medium,"Array,Backtracking",60.6,https://leetcode.com/problems/combination-sum-iii,96,1
217,Contains Duplicate,Easy,"Array,Hash Table",56.9,https://leetcode.com/problems/contains-duplicate,65,1
218,The Skyline Problem,Hard,"Divide and Conquer,Heap,Binary Indexed Tree,Segment Tree,Line Sweep",36.6,https://leetcode.com/problems/the-skyline-problem,95,1
219,Contains Duplicate II,Easy,"Array,Hash Table",38.8,https://leetcode.com/problems/contains-duplicate-ii,48,1
220,Contains Duplicate III,Medium,"Sort,Ordered Map",21.4,https://leetcode.com/problems/contains-duplicate-iii,49,1
221,Maximal Square,Medium,Dynamic Programming,39.6,https://leetcode.com/problems/maximal-square,98,1
222,Count Complete Tree Nodes,Medium,"Binary Search,Tree",49.7,https://leetcode.com/problems/count-complete-tree-nodes,92,1
223,Rectangle Area,Medium,Math,38.3,https://leetcode.com/problems/rectangle-area,38,0
224,Basic Calculator,Hard,"Math,Stack",38.3,https://leetcode.com/problems/basic-calculator,92,1
225,Implement Stack using Queues,Easy,"Stack,Design",47.9,https://leetcode.com/problems/implement-stack-using-queues,60,1
226,Invert Binary Tree,Easy,Tree,67.3,https://leetcode.com/problems/invert-binary-tree,99,1
227,Basic Calculator II,Medium,"String,Stack",38.8,https://leetcode.com/problems/basic-calculator-ii,87,1
228,Summary Ranges,Easy,Array,42.7,https://leetcode.com/problems/summary-ranges,58,1
229,Majority Element II,Medium,Array,39.0,https://leetcode.com/problems/majority-element-ii,92,1
230,Kth Smallest Element in a BST,Medium,"Binary Search,Tree",62.9,https://leetcode.com/problems/kth-smallest-element-in-a-bst,98,1
231,Power of Two,Easy,"Math,Bit Manipulation",43.8,https://leetcode.com/problems/power-of-two,86,1
232,Implement Queue using Stacks,Easy,"Stack,Design",52.7,https://leetcode.com/problems/implement-queue-using-stacks,91,1
233,Number of Digit One,Hard,Math,31.8,https://leetcode.com/problems/number-of-digit-one,35,1
234,Palindrome Linked List,Easy,"Linked List,Two Pointers",41.9,https://leetcode.com/problems/palindrome-linked-list,92,1
235,Lowest Common Ancestor of a Binary Search Tree,Easy,Tree,52.1,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,96,1
236,Lowest Common Ancestor of a Binary Tree,Medium,Tree,49.3,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,96,1
237,Delete Node in a Linked List,Easy,Linked List,67.4,https://leetcode.com/problems/delete-node-in-a-linked-list,22,0
238,Product of Array Except Self,Medium,Array,61.4,https://leetcode.com/problems/product-of-array-except-self,93,1
239,Sliding Window Maximum,Hard,"Heap,Sliding Window,Dequeue",44.8,https://leetcode.com/problems/sliding-window-maximum,96,1
240,Search a 2D Matrix II,Medium,"Binary Search,Divide and Conquer",45.3,https://leetcode.com/problems/search-a-2d-matrix-ii,98,1
241,Different Ways to Add Parentheses,Medium,Divide and Conquer,57.6,https://leetcode.com/problems/different-ways-to-add-parentheses,95,0
242,Valid Anagram,Easy,"Hash Table,Sort",58.9,https://leetcode.com/problems/valid-anagram,94,1
244,Shortest Word Distance II,Medium,"Hash Table,Design",54.5,https://leetcode.com/problems/shortest-word-distance-ii,77,1
245,Shortest Word Distance III,Medium,Array,56.1,https://leetcode.com/problems/shortest-word-distance-iii,77,0
246,Strobogrammatic Number,Easy,"Hash Table,Math",46.4,https://leetcode.com/problems/strobogrammatic-number,35,1
247,Strobogrammatic Number II,Medium,"Math,Recursion",48.8,https://leetcode.com/problems/strobogrammatic-number-ii,78,1
248,Strobogrammatic Number III,Hard,"Math,Recursion",40.4,https://leetcode.com/problems/strobogrammatic-number-iii,59,1
249,Group Shifted Strings,Medium,"Hash Table,String",58.5,https://leetcode.com/problems/group-shifted-strings,83,1
250,Count Univalue Subtrees,Medium,Tree,53.5,https://leetcode.com/problems/count-univalue-subtrees,79,1
251,Flatten 2D Vector,Medium,Design,46.4,https://leetcode.com/problems/flatten-2d-vector,63,0
252,Meeting Rooms,Easy,Sort,55.5,https://leetcode.com/problems/meeting-rooms,95,1
253,Meeting Rooms II,Medium,"Heap,Greedy,Sort",47.1,https://leetcode.com/problems/meeting-rooms-ii,98,1
254,Factor Combinations,Medium,Backtracking,47.6,https://leetcode.com/problems/factor-combinations,96,0
255,Verify Preorder Sequence in Binary Search Tree,Medium,"Stack,Tree",46.4,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,92,0
256,Paint House,Medium,Dynamic Programming,53.9,https://leetcode.com/problems/paint-house,92,1
257,Binary Tree Paths,Easy,"Tree,Depth-first Search",54.0,https://leetcode.com/problems/binary-tree-paths,95,1
258,Add Digits,Easy,Math,58.7,https://leetcode.com/problems/add-digits,47,1
259,3Sum Smaller,Medium,"Array,Two Pointers",49.2,https://leetcode.com/problems/3sum-smaller,91,0
260,Single Number III,Medium,Bit Manipulation,65.4,https://leetcode.com/problems/single-number-iii,94,1
261,Graph Valid Tree,Medium,"Depth-first Search,Breadth-first Search,Union Find,Graph",43.3,https://leetcode.com/problems/graph-valid-tree,97,1
263,Ugly Number,Easy,Math,41.7,https://leetcode.com/problems/ugly-number,49,0
